01,09,10,15,30,42
03,06,12,28,29,43
06,16,18,25,34,45
06,14,15,18,24,41
05,08,10,15,17,41
02,07,10,21,28,35
05,07,12,22,26,33
11,19,23,28,34,35
10,28,29,31,33,37
03,05,13,22,36,44
10,13,22,25,28,36
09,11,24,31,36,44
10,22,26,27,33,43
13,14,29,33,38,43
04,09,16,26,28,42
01,10,16,22,35,44
08,16,22,23,28,38
02,20,22,28,29,38
01,05,10,13,23,25
01,02,08,20,24,31
03,05,11,23,24,42
01,11,23,27,33,39
06,18,20,22,26,34
13,15,23,29,31,34
04,11,16,30,33,43
16,21,27,29,34,44
05,21,26,27,32,33
10,13,21,29,41,43
12,14,18,22,28,31
03,07,13,29,32,44
08,09,15,21,26,45
03,11,14,20,26,42
01,18,22,33,34,43
11,29,32,39,40,43
02,07,16,25,35,38
03,05,07,37,39,42
16,20,26,30,32,40
