03,13,14,26
03,13,14,30
03,13,14,34
03,13,26,30
03,13,26,34
03,13,30,34
03,14,26,30
03,14,26,34
03,14,30,34
03,26,30,34
13,14,26,30
13,14,26,34
13,14,30,34
13,26,30,34
14,26,30,34
02,08,17,20
02,08,17,29
02,08,17,39
02,08,20,29
02,08,20,39
02,08,29,39
02,17,20,29
02,17,20,39
02,17,29,39
02,20,29,39
08,17,20,29
08,17,20,39
08,17,29,39
08,20,29,39
17,20,29,39
09,13,19,21
09,13,19,27
09,13,19,30
09,13,21,27
09,13,21,30
09,13,27,30
09,19,21,27
09,19,21,30
09,19,27,30
09,21,27,30
13,19,21,27
13,19,21,30
13,19,27,30
13,21,27,30
19,21,27,30
01,05,09,14
01,05,09,30
01,05,09,31
01,05,14,30
01,05,14,31
01,05,30,31
01,09,14,30
01,09,14,31
01,09,30,31
01,14,30,31
05,09,14,30
05,09,14,31
05,09,30,31
05,14,30,31
09,14,30,31
09,13,17,22
09,13,17,26
09,13,17,33
09,13,22,26
09,13,22,33
09,13,26,33
09,17,22,26
09,17,22,33
09,17,26,33
09,22,26,33
13,17,22,26
13,17,22,33
13,17,26,33
13,22,26,33
17,22,26,33
03,08,25,37
03,08,25,40
03,08,25,42
03,08,37,40
03,08,37,42
03,08,40,42
03,25,37,40
03,25,37,42
03,25,40,42
03,37,40,42
08,25,37,40
08,25,37,42
08,25,40,42
08,37,40,42
25,37,40,42
04,07,16,27
04,07,16,40
04,07,16,41
04,07,27,40
04,07,27,41
04,07,40,41
04,16,27,40
04,16,27,41
04,16,40,41
04,27,40,41
07,16,27,40
07,16,27,41
07,16,40,41
07,27,40,41
16,27,40,41
13,14,17,24
13,14,17,28
13,14,17,43
13,14,24,28
13,14,24,43
13,14,28,43
13,17,24,28
13,17,24,43
13,17,28,43
13,24,28,43
14,17,24,28
14,17,24,43
14,17,28,43
14,24,28,43
17,24,28,43
04,07,19,24
04,07,19,32
04,07,19,38
04,07,24,32
04,07,24,38
04,07,32,38
04,19,24,32
04,19,24,38
04,19,32,38
04,24,32,38
07,19,24,32
07,19,24,38
07,19,32,38
07,24,32,38
19,24,32,38
27,36,39,43
27,36,39,44
27,36,39,45
27,36,43,44
27,36,43,45
27,36,44,45
27,39,43,44
27,39,43,45
27,39,44,45
27,43,44,45
36,39,43,44
36,39,43,45
36,39,44,45
36,43,44,45
39,43,44,45
02,11,15,32
02,11,15,40
02,11,15,44
02,11,32,40
02,11,32,44
02,11,40,44
02,15,32,40
02,15,32,44
02,15,40,44
02,32,40,44
11,15,32,40
11,15,32,44
11,15,40,44
11,32,40,44
15,32,40,44
03,07,29,31
03,07,29,34
03,07,29,43
03,07,31,34
03,07,31,43
03,07,34,43
03,29,31,34
03,29,31,43
03,29,34,43
03,31,34,43
07,29,31,34
07,29,31,43
07,29,34,43
07,31,34,43
29,31,34,43
08,09,15,18
08,09,15,27
08,09,15,30
08,09,18,27
08,09,18,30
08,09,27,30
08,15,18,27
08,15,18,30
08,15,27,30
08,18,27,30
09,15,18,27
09,15,18,30
09,15,27,30
09,18,27,30
15,18,27,30
10,19,30,35
10,19,30,39
10,19,30,45
10,19,35,39
10,19,35,45
10,19,39,45
10,30,35,39
10,30,35,45
10,30,39,45
10,35,39,45
19,30,35,39
19,30,35,45
19,30,39,45
19,35,39,45
30,35,39,45
