02,05,12,33,41,45
05,27,33,34,38,40
04,11,16,24,35,44
03,17,25,26,36,38
08,16,17,23,28,38
12,15,24,30,36,45
08,15,16,21,25,33
03,18,29,30,39,41
16,21,29,40,41,43
01,04,17,19,24,42
02,03,16,19,22,34
03,05,06,31,34,35
10,14,29,37,38,40
08,09,30,31,38,45
13,17,26,27,31,37
04,18,25,29,32,34
02,10,18,23,34,36
01,12,29,40,44,45
09,10,26,28,39,43
04,15,25,26,32,35
03,05,18,28,42,43
11,14,18,24,35,37
17,18,19,20,27,44
05,20,24,25,35,36
10,16,36,40,41,42
03,13,15,23,24,44
09,14,17,18,36,41
17,19,22,31,32,34
13,17,26,29,33,39
06,29,31,32,39,44
03,05,06,09,28,43
05,09,33,40,41,45
04,12,21,22,27,40
05,13,17,20,29,45
20,34,37,39,41,42
03,25,26,29,40,42
04,13,18,23,33,43
09,11,15,20,32,36
06,12,28,30,39,42
11,15,17,27,28,45
