01,20,24,36,43,45
02,06,11,13,15,38
12,19,27,39,42,45
18,27,32,35,41,44
01,03,11,14,23,29
10,20,22,24,27,42
03,13,17,18,23,34
12,16,17,18,26,34
11,12,13,16,29,31
08,14,18,21,44,45
08,10,11,28,42,45
05,06,22,27,34,37
10,12,13,22,26,40
11,19,30,36,38,40
16,17,24,28,30,36
01,03,11,12,22,36
03,22,25,29,33,40
15,17,18,33,34,44
16,18,28,36,37,45
03,08,22,28,33,42
12,24,25,33,40,44
05,16,17,28,31,38
18,22,24,29,41,45
19,34,37,39,41,44
07,10,18,31,39,43
03,08,10,24,27,28
05,06,29,30,37,38
26,31,32,37,43,45
02,21,32,37,38,42
09,16,18,38,41,45
08,09,24,27,40,45
13,14,16,19,20,23
08,10,14,19,26,34
07,15,20,29,31,38
03,08,09,25,27,28
12,26,28,29,39,43
02,07,08,10,28,44
22,26,33,34,38,42
02,03,27,28,34,43
04,07,15,28,34,37
